Id,Texto,Label,Lenguaje
1,"""Bájale de huevos o te parto tu madre idiota""",toxic,español
2,"""Beaners are parasitic scum""",hate,ingles
3,"""Eres un desperdicio de espacio pinche baboso""",toxic,español
4,"""All shemales belong in the oven""",hate,ingles
5,"""Fome venecos weones comen gatos""",hate,español
6,"""GG chat gracias ❤️""",clean,español
7,"""Qué evolución tan increíble has tenido maestro""",clean,español
8,"""holaaaaa recién me conecto :3""",clean,español
9,"""Eres un completo idiota. ¿Por qué sigues comentando? 👎""",toxic,español
10,"""That's ace lad""",clean,ingles
11,"""Deje de montar película soplapollas""",toxic,español
12,"""Cachai venecos conchetumadres muéranse""",hate,español
13,"""JAJAJAJA increible""",clean,español
14,"""xd xd xd no paro 😂""",clean,español
15,"""Rey saludos cordiales 🙏""",clean,español
16,"""Oigan a este bobo lo que dice muerto de hambre""",toxic,español
17,"""That's sick pal""",clean,ingles
18,"""Po peruanos asquerosos muéranse""",hate,español
19,"""bro q hueva leerte""",toxic,español
20,"""Próspero año nuevo""",clean,español
21,"""alguien sabe si hay entregas?""",clean,español
22,"""Pinches chilangos que se mueran alv al chile""",hate,español
23,"""Tienes la cara muy dura cenutrio""",toxic,español
24,"""You daft minger""",toxic,ingles
25,"""a qe hora el sorteo?""",clean,español
26,"""You look like a proper twat""",toxic,ingles
27,"""Pajeets are should be sterilized ngl""",hate,ingles
28,"""Qué bonito mensaje compartes""",clean,español
29,"""Que te folle un pez pringado""",toxic,español
30,"""Pendejos puercos que se mueran alv""",hate,español
31,"""Po sodomitas pobletes son puro delincuente""",hate,español
32,"""esto esta brutal neta 🤩""",clean,español
33,"""Suicídate, a nadie le importarías.""",toxic,español
34,"""Esos cuicos weones nos invaden cachai 💸""",hate,español
35,"""q ganas d quedar mal""",toxic,español
36,"""This explanation was helpful.""",clean,ingles
37,"""What a trash joke. You're just a troll. 😒""",toxic,ingles
38,"""Eres un payaso total. Consíguete una vida. 🤫""",toxic,español
39,"""a qe hora vuelves?""",clean,español
40,"""All chinks are brainless bruh""",hate,ingles
41,"""eres un descerebrado""",toxic,español
42,"""All rednecks are trashy kek""",hate,ingles
43,"""pop off legend""",clean,ingles
44,"""Disgusting fascists are poisoning our blood""",hate,ingles
45,"""Aweonao venecos asquerosos son puro delincuente""",hate,español
46,"""hey gente guapa uwu""",clean,español
47,"""Toxic faggots should hang""",hate,ingles
48,"""No te compares tu camino es único""",clean,español
49,"""Trannies belong in the oven""",hate,ingles
50,"""Aweonao flaites culiaos chupenla 🔫""",hate,español
51,"""holaaaa recien salgo del jale""",clean,español
